input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
0,0,0,0,0
3,0,6,0,2
6,0,21,0,8
9,0,44,0,17
12,0.001,79,0.008,26
15,0.001,118,0.001,36
18,0.002,171,0.0005,47
21,0.003,232,0,58
24,0,300,0,69
27,0,379,0,83
30,0.003,465,0.0005,92
33,0.005,563,0.001,109
36,0.0005,664,0,118
39,0.0045,787,0.0035,136
42,0.0025,899,0.001,150
45,0.0105,1040,0.0075,160
48,0.009,1169,0.0025,173
51,0.017,1311,0,187
54,0.0115,1456,0.001,208
57,0.007,1695,0.0105,220
60,0.0115,1825,0.001,233
63,0.0205,2010,0.0025,250
66,0.018,2244,0.0015,269
69,0.0195,2395,0.001,282
72,0.0105,2642,0.009,303
75,0.0235,2840,0.0015,318
78,0.0205,3058,0.0035,331
81,0.0295,3316,0.0005,344
84,0.0225,3489,0.001,341
87,0.021,3834,0.0115,388
90,0.028,4128,0.0105,380
93,0.032,4393,0.0025,415
96,0.0315,4610,0.0025,418
99,0.0305,4886,0.0015,445
102,0.034,5201,0.002,447
105,0.031,5544,0.002,487
108,0.0385,5887,0.0025,506
111,0.033,6323,0.0035,505
114,0.055,6530,0.002,535
117,0.053,6934,0.003,549
120,0.0515,7284,0.003,542
123,0.055,7586,0.0025,596
126,0.06,8061,0.006,584
129,0.0595,8408,0.0055,597
132,0.0635,8758,0.0025,636
135,0.0665,9221,0.001,651
138,0.083,9410,0.0055,705
141,0.0725,9748,0.004,672
144,0.0625,10223,0.003,684
147,0.0675,11138,0.0125,691
150,0.0775,11219,0.0065,737
153,0.081,11613,0.004,739
156,0.0855,12192,0.0025,757
159,0.088,12765,0.003,737
162,0.081,12886,0.0065,814
165,0.095,13574,0.0035,828
168,0.106,14252,0.0055,792
171,0.0935,14762,0.014,848
174,0.103,14839,0.004,867
177,0.1065,15813,0.005,916
180,0.111,16210,0.004,942
183,0.1115,16932,0.012,935
186,0.124,17418,0.006,945
189,0.109,17804,0.014,984
192,0.1295,18571,0.0045,979
195,0.119,19291,0.0155,1045
