input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
0,0,0,0,1
10,0.001,86,0,7
20,0.001,314,0,10
30,0.0045,704,0,12
40,0.005,1201,0.0025,14
50,0.0075,1885,0.002,16
60,0.0145,2716,0.001,17
70,0.0155,3647,0.0035,18
80,0.02,4727,0.004,19
90,0.027,5999,0.002,20
100,0.032,7386,0.002,21
110,0.037,8819,0.005,22
120,0.0465,10540,0.002,21
130,0.0515,12498,0.006,22
140,0.055,14000,0.005,24
150,0.0675,16218,0.002,24
160,0.0705,18271,0.0065,24
170,0.076,20581,0.008,23
180,0.0865,23325,0.008,25
190,0.0985,25848,0.0075,26
200,0.1085,28525,0.007,27
210,0.1165,30561,0.007,26
220,0.132,34287,0.007,27
230,0.139,37142,0.0075,27
240,0.155,40987,0.011,29
250,0.165,42797,0.007,28
260,0.176,46897,0.0085,28
270,0.1885,50424,0.0125,29
280,0.202,53434,0.007,28
290,0.219,57704,0.01,30
300,0.23,61816,0.013,30
310,0.2545,66979,0.012,29
320,0.2565,68152,0.013,31
330,0.2855,75280,0.0135,30
340,0.297,78329,0.013,30
350,0.3115,83924,0.0125,31
360,0.33,89164,0.018,31
370,0.3485,91954,0.0105,33
380,0.357,93549,0.0135,32
390,0.385,102299,0.017,33
400,0.409,108226,0.017,32
410,0.4175,108692,0.0135,32
420,0.4355,116011,0.017,32
430,0.4505,119197,0.0125,33
440,0.4645,125454,0.028,34
450,0.5125,133046,0.0135,32
460,0.515,135541,0.014,33
470,0.5465,144046,0.0215,35
480,0.565,147769,0.019,34
490,0.5955,155857,0.018,36
500,0.607,160721,0.0175,33
510,0.634,166476,0.018,35
520,0.659,171107,0.0175,34
530,0.678,177756,0.0185,36
540,0.681,178934,0.0255,34
550,0.7185,189237,0.022,33
560,0.7595,198829,0.0235,36
570,0.7695,203204,0.022,35
580,0.79,206352,0.021,37
590,0.8375,219368,0.026,39
600,0.8435,219500,0.025,36
610,0.8605,224333,0.023,37
620,0.9155,238827,0.0235,36
630,0.929,243235,0.033,37
640,0.9365,243969,0.023,35
650,0.9925,258987,0.026,36
660,0.992,258430,0.027,37
670,1.04,272078,0.0275,37
680,1.0835,279325,0.0235,37
690,1.1055,287321,0.031,37
700,1.15,297110,0.027,39
710,1.165,303762,0.037,39
720,1.208,312798,0.0295,38
730,1.2395,323787,0.035,38
740,1.2585,322938,0.0325,39
750,1.2565,324489,0.036,39
760,1.3495,346797,0.0255,38
770,1.3425,344942,0.0315,39
780,1.4,360380,0.0355,38
790,1.437,369617,0.033,39
800,1.4355,369157,0.034,38
810,1.465,375114,0.0355,38
820,1.515,387707,0.0295,39
830,1.535,393312,0.0325,38
840,1.5645,400901,0.0315,38
850,1.6565,424228,0.0345,41
860,1.6555,421763,0.036,42
870,1.673,421991,0.038,40
880,1.739,441178,0.0425,39
890,1.766,452413,0.0375,39
900,1.815,461279,0.038,40
910,1.854,472373,0.038,40
920,1.878,478454,0.039,40
930,1.892,480658,0.0375,41
940,1.9575,497125,0.0305,40
950,2.0105,510776,0.049,43
960,1.9915,507918,0.043,41
970,2.0255,519357,0.053,41
980,2.096,528678,0.041,42
990,2.0935,531823,0.036,39
