input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
0,0,0,0,1
20,0.002,310,0.001,64
40,0.008,1237,0.001,150
60,0.012,2746,0.003,252
80,0.023,4788,0.002,345
100,0.042,7528,0.001,467
120,0.04,10135,0.007,564
140,0.054,14121,0.006,700
160,0.072,18576,0.004,776
180,0.088,23648,0.01,894
200,0.106,27533,0.01,1038
220,0.133,34021,0.007,1234
240,0.149,40776,0.014,1304
260,0.184,46232,0.006,1353
280,0.207,54439,0.011,1672
300,0.227,62480,0.018,1617
320,0.27,70542,0.013,1809
340,0.29,76745,0.019,1774
360,0.313,85875,0.01,2085
380,0.377,98743,0.018,2118
400,0.397,104288,0.012,2131
420,0.444,117428,0.028,2352
440,0.472,126445,0.024,2671
460,0.516,137278,0.022,2638
480,0.577,152380,0.018,2947
500,0.628,163231,0.022,2895
520,0.679,174718,0.022,3246
540,0.72,189548,0.027,3280
560,0.743,193084,0.014,3275
580,0.79,205279,0.018,3515
600,0.831,218444,0.037,3741
620,0.923,238199,0.025,3960
640,0.943,242894,0.02,3588
660,1.017,262838,0.026,4037
680,1.081,279478,0.031,3955
700,1.128,291097,0.031,4644
720,1.23,316668,0.035,4506
740,1.23,317162,0.034,4780
760,1.325,337925,0.035,5061
780,1.361,349247,0.045,5045
800,1.504,370225,0.034,5055
820,1.571,398952,0.03,5151
840,1.599,408353,0.044,5517
860,1.617,417094,0.058,5802
880,1.724,434137,0.039,6146
900,1.838,467938,0.04,5824
920,1.814,458126,0.035,5553
940,2.01,513349,0.055,6133
960,2.041,513182,0.036,5501
980,2.093,523880,0.035,6110
