input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
0,0,0,0,0
10,0,55,0,20
20,0,207,0,53
30,0.00375,455,0.004,94
40,0.004,822,0.00375,140
50,0.00375,1241,0.004,188
60,0.00775,1772,0.004,236
70,0.01975,2393,0,281
80,0.02625,3155,0.0005,337
90,0.018,3932,0.009,375
100,0.01975,4903,0.0075,444
110,0.034,5956,0.005,501
120,0.04675,6913,0,560
130,0.05275,8196,0.00475,603
140,0.0595,9430,0,661
150,0.06625,10793,0,727
160,0.06475,12186,0.00775,788
170,0.07375,13700,0.00475,813
180,0.08975,15384,0.004,927
190,0.10125,17103,0.00075,937
200,0.10925,18880,0.00425,972
210,0.1265,21029,0.00225,1102
220,0.12525,22795,0.00075,1097
230,0.13575,24886,0.0175,1199
240,0.14125,26434,0.0105,1215
250,0.16125,28746,0.012,1271
260,0.17075,31031,0.01675,1392
270,0.1805,33732,0.0095,1458
280,0.20175,36041,0.00225,1456
290,0.2135,38510,0.00125,1584
300,0.213,41015,0.0165,1725
310,0.231,43090,0.00825,1669
320,0.2375,46810,0.01225,1730
330,0.266,49703,0.0235,1950
340,0.28925,52004,0.01675,1805
350,0.305,54875,0.0085,1938
360,0.31975,59006,0.01325,1958
370,0.33325,60945,0.01025,2075
380,0.35225,63777,0.006,2107
390,0.39725,68036,0.00525,2313
400,0.3805,69421,0.02175,2252
410,0.41875,73949,0.02175,2265
420,0.49575,77304,0.01,2446
430,0.4675,79876,0.0215,2469
440,0.47875,83749,0.02475,2636
450,0.478,87849,0.01875,2564
460,0.533,90105,0.0335,2659
470,0.52525,94573,0.00625,2736
480,0.55225,98546,0.02325,2930
490,0.59575,102611,0.021,3022
500,0.6285,108063,0.00875,2953
510,0.64175,108501,0.008,2959
520,0.687,115478,0.01925,2973
530,0.6745,117595,0.0265,3018
540,0.649,124801,0.03275,3150
550,0.69875,126308,0.01375,3313
560,0.754,135676,0.02725,3374
570,0.72625,135775,0.0145,3375
580,0.796,139510,0.028,3406
590,0.782,141916,0.0315,3583
600,0.82025,149357,0.03275,3653
610,0.84575,152245,0.02225,3743
620,0.9775,157517,0.02025,3824
630,0.92575,161544,0.0265,3732
640,0.93075,166060,0.0255,3931
650,0.92475,172398,0.0295,3876
660,0.98075,177490,0.02725,4164
670,1.00875,180902,0.021,3972
680,1.00575,185806,0.02,4448
690,1.07325,192880,0.03175,4345
700,1.10775,200832,0.0265,4180
710,1.09375,200271,0.03775,3984
720,1.1375,206845,0.035,4615
730,1.2385,210925,0.062,4753
740,1.1885,214683,0.049,4785
750,1.2555,223084,0.05025,5157
760,1.255,224884,0.02475,5049
770,1.301,233178,0.0345,4937
780,1.3595,239596,0.0505,5119
790,1.3805,249245,0.0115,4932
800,1.3775,245887,0.027,4930
810,1.479,256594,0.02325,5118
820,1.5185,262263,0.04825,5028
830,1.65725,273413,0.0435,5286
840,1.494,268898,0.02775,4981
850,1.54225,279675,0.04575,5462
860,1.59225,283122,0.052,5440
870,1.5775,289223,0.037,5496
880,1.659,294303,0.0315,5668
890,1.706,301564,0.0545,5798
900,1.687,306976,0.067,5938
910,1.7315,307223,0.035,5832
920,1.789,313030,0.0335,6001
930,1.85025,327290,0.037,5782
940,1.84875,331844,0.0385,5601
950,1.90475,338437,0.04925,5668
960,1.91175,341656,0.05275,6347
970,2.0215,348668,0.04075,6304
980,2.0335,356563,0.02925,5934
990,2.0125,359321,0.04875,6358
